PLOT,X_NAD83,Y_NAD83,landscape
B-01-03,522385,2813225,WP
B-01-07,524394,2812179,WP
B-02-02,525433,2808246,WP
B-02-04,526393,2808207,WP
B-02-05,527489,2806438,WP
B-02-07,528345,2807219,WP
B-03-01,523480,2800352,WP
B-03-03,524439,2800361,WP
B-03-04,524436,2799379,WP
B-07-01,523326,2814290,WP
B-07-02,524432,2814361,WP
B-07-03,523900,2813351,WP
B-07-04,524424,2813249,WP
B-07-06,523397,2812236,WP
B-08-01,526367,2807205,WP
B-08-02,526683,2805321,WP
B-11-10,522476,2799312,WP
B-12-05,522442,2814156,WP
B-12-06,522530,2812136,WP
B-14-01,527374,2807213,WP
B-14-02,525389,2807179,WP
B-14-03,526437,2806276,WP
F-01-03,540249,2827107,WP
F-03-05,540235,2825066,WP
M2-00000,537477,2838897,S
M2-00500,537030,2839126,S
M2-01000,536584,2839356,S
M2-01500,536142,2839586,S
M2-02000,535705,2839782,S
M2-02500,535251,2840044,S
M3-01500,541088,2825337,WP
M3-02100,540491,2825283,WP
M3-03000,539594,2825201,WP
M3-03300,539085,2825387,WP
M3-04500,538454,2826029,WP
M3-04800,538244,2826243,WP
M3-05100,538034,2826457,WP
M3-14500,531136,2832793,S
M3-15000,530724,2833076,S
M3-15500,530301,2833366,S
M3-15800,530056,2833541,S
M3-16000,529896,2833659,S
M3-16300,529653,2833834,S
M4-09300,517623,2815361,S
M4-09800,517279,2815755,S
M4-10300,516968,2816123,S
M4-10800,516647,2816503,S
M4-11300,516328,2816887,S
M4-11800,515994,2817260,S
M5-06900,522693,2800848,WP
M5-08100,523858,2801134,WP
M5-09000,524733,2801349,WP
